Customer,Business Unit,Server,Product,Client,Policy,Group,Job Type,Job,Status,Vendor Status,Job ID,Size,Size Scanned,Size Transferred,KB/Sec,Nbr Files,Start Date,End Date,Expiration Date,Backup Day
Trane Technologies,Undefined,igravandc001.corp.irco.com,EMC Avamar,ITARPTNDC001.AD.CORP.GLOBAL,Daily_30day_10PM_EST_VSS,Daily_30day_10PM_EST_VSS,Scheduled Backup,Windows VSS-/Windows VSS Dataset,Success,30000,9172783440003109,0.115011584,,,54.15429122,173192,"Oct 1, 2024 9:00:56 PM","Oct 1, 2024 9:35:30 PM","Nov 1, 2024 3:00:00 AM",01-Oct-2024
Trane Technologies,Undefined,igravandc001.corp.irco.com,EMC Avamar,ITARPTNDC001.AD.CORP.GLOBAL,Daily_30day_10PM_EST_VSS,Daily_30day_10PM_EST_VSS,Scheduled Backup,Windows VSS-/Windows VSS Dataset,Success,30000,9172792080003109,0.09534976,,,44.00519849,173205,"Oct 2, 2024 9:00:56 PM","Oct 2, 2024 9:36:12 PM","Nov 2, 2024 3:00:00 AM",02-Oct-2024
Trane Technologies,Undefined,igravandc001.corp.irco.com,EMC Avamar,ITARPTNDC001.AD.CORP.GLOBAL,Daily_30day_10PM_EST_VSS,Daily_30day_10PM_EST_VSS,Scheduled Backup,Windows VSS-/Windows VSS Dataset,Success,30000,9172800720003309,0.10400768,,,47.55149813,173222,"Oct 3, 2024 9:01:05 PM","Oct 3, 2024 9:36:41 PM","Nov 3, 2024 3:00:00 AM",03-Oct-2024
Trane Technologies,Undefined,igravandc001.corp.irco.com,EMC Avamar,ITARPTNDC001.AD.CORP.GLOBAL,Daily_30day_10PM_EST_VSS,Daily_30day_10PM_EST_VSS,Scheduled Backup,Windows VSS-/Windows VSS Dataset,Success,30000,9172809360003109,0.102874112,,,48.53285024,173240,"Oct 4, 2024 9:01:05 PM","Oct 4, 2024 9:35:35 PM","Nov 4, 2024 4:00:00 AM",04-Oct-2024
Trane Technologies,Undefined,igravandc001.corp.irco.com,EMC Avamar,ITARPTNDC001.AD.CORP.GLOBAL,Daily_30day_10PM_EST_VSS,Daily_30day_10PM_EST_VSS,Scheduled Backup,Windows VSS-/Windows VSS Dataset,Success,30000,9172818000003209,0.0986368,,,44.88583411,173247,"Oct 5, 2024 9:00:56 PM","Oct 5, 2024 9:36:42 PM","Nov 5, 2024 4:00:00 AM",05-Oct-2024
Trane Technologies,Undefined,igravandc001.corp.irco.com,EMC Avamar,ITARPTNDC001.AD.CORP.GLOBAL,Daily_30day_10PM_EST_VSS,Daily_30day_10PM_EST_VSS,Scheduled Backup,Windows VSS-/Windows VSS Dataset,Success,30000,9172826640003209,0.098737152,,,46.1354067,173252,"Oct 6, 2024 9:00:56 PM","Oct 6, 2024 9:35:46 PM","Nov 6, 2024 4:00:00 AM",06-Oct-2024
Trane Technologies,Undefined,igravandc001.corp.irco.com,EMC Avamar,ITARPTNDC001.AD.CORP.GLOBAL,Daily_30day_10PM_EST_VSS,Daily_30day_10PM_EST_VSS,Scheduled Backup,Windows VSS-/Windows VSS Dataset,Success,30000,9172835280003309,0.107411456,,,49.61873226,173274,"Oct 7, 2024 9:00:38 PM","Oct 7, 2024 9:35:52 PM","Nov 7, 2024 4:00:00 AM",07-Oct-2024
Trane Technologies,Undefined,igravandc001.corp.irco.com,EMC Avamar,ITARPTNDC001.AD.CORP.GLOBAL,Daily_30day_10PM_EST_VSS,Daily_30day_10PM_EST_VSS,Scheduled Backup,Windows VSS-/Windows VSS Dataset,Success,30000,9172843920003209,0.111747072,,,49.2899729,173358,"Oct 8, 2024 9:00:50 PM","Oct 8, 2024 9:37:44 PM","Nov 8, 2024 4:00:00 AM",08-Oct-2024
Trane Technologies,Undefined,igravandc001.corp.irco.com,EMC Avamar,ITARPTNDC001.AD.CORP.GLOBAL,Daily_30day_9PM_EST_FS,Daily_30day_9PM_EST_FS,Scheduled Backup,Windows File System-/Windows FS Dataset,Success,30000,9172783080004509,0.168266752,,,202.3682266,202162,"Oct 1, 2024 8:02:15 PM","Oct 1, 2024 8:15:47 PM","Nov 1, 2024 2:00:00 AM",01-Oct-2024
Trane Technologies,Undefined,igravandc001.corp.irco.com,EMC Avamar,ITARPTNDC001.AD.CORP.GLOBAL,Daily_30day_9PM_EST_FS,Daily_30day_9PM_EST_FS,Scheduled Backup,Windows File System-/Windows FS Dataset,Success,30000,9172791720003609,0.138805248,,,158.3551402,202177,"Oct 2, 2024 8:01:15 PM","Oct 2, 2024 8:15:31 PM","Nov 2, 2024 2:00:00 AM",02-Oct-2024
